单词,释义,例句
ab,,Ab morgen muss ich arbeiten.
aber,,"Ich bin oft im Büro, aber nur für wenige Stunden."
abfahren,出发,Wir fahren um zw?lf Uhr ab.
die Abfahrt,开出，出发,Vor der Abfahrt rufe ich an.
abgeben,交给,Ich muss meine Schlüssel abgeben.
abholen,接，拿，取,Wann kann ich den Schrank bei dir abholen?/Wir müssen noch meinen Bruder abholen.
der Absender,,Da ist ein Brief für dich ohne Absender.
Achtung,注意,Achtung! Das dürfen Sie nicht tun.
"die Adresse,-en",,K?nnen Sie mir seine Adresse sagen?
all-,,Alles Gute! Das ist alles. Sind alle da? Alle Freunde kommen. Hast du alles?
allein,单独,Er kommt allein.
also,这样,"Also, es ist so: … Er hat Zeit, also muss er uns helfen."
alt,,Wie alt sind Sie? Sie sehen aber nicht so alt aus. Mein Auto ist schon sehr alt.Wir wohnen in einem sehr alten Haus. K?ln ist eine alte Stadt.
das Alter,,Alter: 26 Jahre.
an,,Fahren Sie an der n?chsten Stra?e nach rechts. Wir treffen uns am Bahnhof. Am n?chsten Montag geht es leider nicht.
anbieten,,Was darf ich dir anbieten?
"das Angebot, -e",,Heute sind Sportschuhe im Angebot.
ander-,不同，另一个,"WiIlst du diese Jacke? – Nein, ich m?chte die andere"
anfangen,开始，着手,Hier f?ngt die Bahnhofstra?e an. Der Unterricht（课程） f?ngt gleich an.
der Anfang,开端开头,Sie wohnt am Anfang der Stra?e./Wir machen Anfang Juli Urlaub.
anklicken,点击,Da musst du dieses Wort anklicken.
ankommen,到，到达，来到,Wann kommt dieser Zug in Hamburg an?
die Ankunft,到达，来到,Auf diesem Plan steht nur die Ankunft(-szeit) der Züge.
ankreuzen,,Auf dem Formular müssen Sie an mehreren Stellen etwas ankreuzen.
anmachen,打开,Mach bitte das Licht an!
(sich) anmelden,登记,Wo kann ich mich anmelden?
die Anmeldung,,Eine Anmeldung für diesen Kurs ist nicht mehr m?glich.
die Anrede,称呼,Schreiben Sie auch eine Anrede und einen Gru?.
anrufen,打电话,Kann man Sie anrufen?可以给您打电话吗/Peter ruft kurz seine Freundin an.
"der Anruf, -e",,Sie bekommt viele Anrufe auf ihrem Handy.
der Anrufbeantworter,电话应答装置,"Wir sind im Moment nicht da. Sprechen Sie bitte auf
 den Anrufbeantworter."
"die Ansage, -n",宣布，公告,H?ren Sie die Ansagen.
der Anschluss,连接,In Mannheim haben Sie Anschluss nach Saarbrücken. Ist das die Anmeldung für einen Telefonanschluss?
an sein,,Heute Nacht war das Licht an.今晚灯亮了
antworten,,Er antwortet nicht.
"die Antwort, -en",,Er gibt leider keine Antwort.
"die Anzeige, -n",报告，通告，广告,Ich habe Ihre Anzeige in der Zeitung gelesen.
(sich) anziehen,穿上,Ich muss mich noch anziehen. 
"das Apartment, -s",公寓房间,Wir haben ein Apartment gemietet. 我们租了一件公寓
"der Apfel, -?",,Ein Pfund ?pfel bitte.
der Appetit,,Guten Appetit!
arbeiten,,Wo arbeiten Sie?
"die Arbeit, -en",,Mein Bruder sucht Arbeit.
arbeitslos,失业,"Es gibt bei uns viele Leute, die schon lange arbeitslos sind."
"der Arbeitsplatz, -?, e",工作岗位,An meinem Arbeitsplatz fehlt ein Drucker.
"der Arm, -e",,Mein Arm tut weh.
"der Arzt, -?, e",,Morgen habe ich einen Termin bei meiner ?rztin.
auch,,Ich bin auch Spanier.
auf,,Die Kinder spielen auf der Stra?e./Auf Wiedersehen./Wie hei?t das auf Deutsch?
"die Aufgabe, -n",任务,Das ist eine schwere Aufgabe.
aufh?ren,停止，终止,Der Kurs h?rt in einer Woche auf.课程一周内停止/Hier h?rt die Bahnhofstra?e auf.
auf sein,向上，往上，打开，开着,Du brauchst den Schlüssel nicht. Die Wohnung ist auf.
aufstehen,站立，起床,Ich muss immer um vier Uhr aufstehen./Soll ich aufstehen?
"der Aufzug, -ü, e",,In diesem Haus gibt es keinen Aufzug.
"das Auge, -n",,Er hat blaue Augen
aus,,Er kommt aus Brasilien.
der Ausflug,"出游,郊游,远足",Morgen machen wir einen Ausflug nach Heidelberg.
ausfüllen,,Füllen Sie bitte dieses Formular aus.
der Ausgang,出口，出口处,Wo ist der Ausgang?
"die Auskunft, -ü, e",答复，消息,K?nnen Sie mir eine Auskunft geben?
das Ausland,外国，国外,Fahren Sie ins Ausland?
"der Ausl?nder, -",外国人,SInd Sie Ausl?nderin?
ausl?ndisch,外国的,Leider habe ich nur ausl?ndisches Geld.
ausmachen,关掉,Mach bitte das Licht aus!请关灯
"die Aussage, -n",陈述，意见,Ist die Aussage richtig oder falsch?
aussehen,外观，好像,Das sieht sch?n aus.
aus sein,,Das Licht ist aus. /Die Schule ist aus.
aussteigen,下车，下船,Wo muss ich aussteigen?
der Ausweis,,Hier ist mein Ausweis.
"das Auto, -s",,Er kommt mit dem Auto.
"die Autobahn, -en",高速公路,Wo geht‘s hier bitte zur Autobahn?
der Automat,自动售货机,Die Fahrkarten gibt es nur am Automaten.
automatisch,自动的,Du musst nichts machen. Das geht automatisch.
"das Baby, -s",,Mein Kind ist noch ein Baby.
die B?ckerei,,Ich geh mal schnell zur B?ckerei.
das Bad,,Wir haben kein gro?es Bad.
die Bahn,道，轨道,Wir fahren lieber mit der Bahn./Ich nehme die n?chste Bahn.
der Bahnhof,,Komme ich hier zum Bahnhof?
der Bahnsteig,站台,Auf welchem Bahnsteig f?hrt der Zug?
bald,不久，很快,Ich komme bald.
der Balkon,,Die Wohnung hat auch einen kleinen Balkon.
"die Banane, -n",,"Drei Bananen, bitte!"
die Bank,银行。长椅,Die Bank schlie?t schon um vier Uhr./Er sitzt im Park auf einer Bank und liest.
bar,纯粹的，现金的,Muss ich bar zahlen oder geht‘s auch mit Karte?
der Bauch,,Seit gestern tut mir der Bauch weh.
"der Baum, -?, e",,"Vorsicht, fahr nicht an den Baum!"
"der Beamte, -n",公职人员，官员,Fragen Sie die Beamtin an Schalter acht!
bedeuten,意思是,Was bedeutet das Wort?
beginnen,,Das Spiel beginnt um 15.30 Uhr.
bei,,Offenbach liegt bei Frankfurt./Ich wohne bei meinen Eltern./Bei uns regnet es heute./Er arbeitet bei der Polizei.
beide,两个，双方,Beide Eltern arbeiten./Wir kommen beide.
"das Bein, -e",,Mein rechtes Bein tut weh.
"das Beispiel, -e",例子,Kannst du mir ein Beispiel sagen?
zum Beispiel/z. B.,,"Viele meiner Verwandten, z. B. meine beiden Brüder, arbeiten auch hier."
bekannt,知名的，熟悉的,Picasso ist sehr bekannt.
"der/die Bekannte, -n",熟人,Ein Bekannter von mir hei?t Klaus.
bekommen,得到，收到,Haben Sie meinen Brief bekommen?/Was bekommen Sie?/Dieses Medikament bekommen Sie in der Apotheke.
benutzen,使用，利用,Die Aufzüge bitte nicht benutzen!请不要使用电梯
"der Beruf, -e",,Was sind Sie von Beruf?Was ist Ihr Beruf?
besetzt,占用,Die Nummer ist immer besetzt./Der Platz ist besetzt.
besichtigen,参观,Ich m?chte gern den Dom besichtigen。Dom 大教堂
besser,,Es geht mir schon besser.
best-,,Am besten treffen wir uns morgen.
bestellen,订购，预定,"Wir m?chten bestellen, bitte./Dieses Buch haben wir nicht – sollen wir es für Sie bestellen?"
besuchen,拜访，访问,Darf ich dich besuchen?
"das Bett, -en",,Wir brauchen noch ein Kinderbett.
bezahlen,支付，偿还,Wo muss ich bezahlen?
das Bier,,Noch ein Bier bitte.
"das Bild, -er",图片，画，照片,Hast du ein Bild von deinem Sohn?
billig,,Die Jacke kostet nur 10 Euro! Die ist aber billig!
"die Birne, -n",梨，灯泡,"Ein Kilo Birnen, bitte!"
bis,到…为止，直到,Ich fahre nur bis Stuttgart./Ich warte bis morgen.
bisschen,,"Ich spreche Englisch, Franz?sisch und ein bisschen Deutsch."
bitte,,"Eine Tasse Kaffee, bitte!/Sprechen Sie bitte leise!"
"die Bitte, -n",请求,Ich habe noch eine Bitte.
bitten,恳请，请求,Darf ich Sie um etwas bitten?
bitter,苦，十分,Der Kaffee schmeckt bitter.
bleiben,停留，逗留,Ich bleibe heute zu Hause./Wir bleiben nur bis morgen.
"der Bleistift, -e",,Hast du einen Bleistift?
der Blick,目光，眼神，景色,Von diesem Hotel hat man einen guten Blick auf den Rhein.
"die Blume, -n",,Gefallen dir die Blumen?
